CL:0000075
CL:0000091
CL:0000182
CL:0000241
CL:0000526
CL:0000623
CL:0000624
CL:0000632
CL:0000738
CL:0000784
CL:0000798
CL:0000909
CL:0000921
CL:0000990
CL:0001056
CL:0001203
CL:0002138
CL:0002196
CL:0002399
CL:0002543
CL:0009100
CL:0019018
CL:0019026
CL:0019028
CL:0019029
CL:1000398
CL:1000413
CL:2000054
HGNC:10500
HGNC:10718
HGNC:10720
HGNC:11204
HGNC:11529
HGNC:11599
HGNC:11784
HGNC:11801
HGNC:11922 
HGNC:12029
HGNC:12046
HGNC:12053
HGNC:12104
HGNC:12252
HGNC:12271
HGNC:12716
HGNC:12726
HGNC:130
HGNC:13635
HGNC:1608
HGNC:1636
HGNC:1637
HGNC:1662
HGNC:16647
HGNC:1678
HGNC:1693
HGNC:1694
HGNC:1697
HGNC:1706
HGNC:1884
HGNC:20772
HGNC:2197
HGNC:2198
HGNC:2201
HGNC:2202
HGNC:2433
HGNC:2500
HGNC:25357
HGNC:2611
HGNC:2625
HGNC:2637
HGNC:2770
HGNC:28495
HGNC:3165
HGNC:3336
HGNC:3349
HGNC:3372
HGNC:3613
HGNC:3765
HGNC:399
HGNC:42
HGNC:4235
HGNC:4341
HGNC:4504
HGNC:4540
HGNC:4806
HGNC:5024
HGNC:6134
HGNC:6147
HGNC:6152
HGNC:6342
HGNC:6347
HGNC:6436
HGNC:6445
HGNC:7154
HGNC:7656
HGNC:8148
HGNC:8804
HGNC:8823
HGNC:9346
HGNC:9454
HGNC:9666
UBERON:0001021
UBERON:0001193
UBERON:0001279
UBERON:0001281
UBERON:0001282
UBERON:0001473
UBERON:0001639
UBERON:0002107
UBERON:0002384
UBERON:0002394
UBERON:0004058
UBERON:0004647
UBERON:0004648
UBERON:0005169
UBERON:0005452
UBERON:0006729
UBERON:0006841
UBERON:0016478
